employee_id,name,department,length_of_service,salary,no_of_trainings,previous_year_rating,performance_rating,promoted
6,Luca Ferrari,Studente,5,77.0,2,3.85,3.85,1
7,Sofia Esposito,Studente,4,62.5,1,3.13,3.13,1
8,Marco Ricci,Studente,3,88.3,1,4.42,4.42,1
9,Elena Conti,Studente,3,63.3,1,3.17,3.17,1
10,Giovanni Marino,Studente,3,90.0,2,4.5,4.5,1
11,Chiara Galli,Studente,4,72.5,2,3.63,3.63,1
12,Francesco Lombardi,Studente,2,45.0,0,2.25,2.25,0
13,Martina De Luca,Studente,3,76.7,1,3.83,3.83,1
14,Alessandro Greco,Studente,3,60.0,1,3.0,3.0,1
15,Valentina Costa,Studente,4,83.8,3,4.19,4.19,1
16,Davide Russo,Studente,2,95.0,1,4.75,4.75,1
17,Federica Marino,Studente,2,100.0,2,5.0,5.0,1
18,Matteo Barbieri,Studente,2,57.5,0,2.88,2.88,0
19,Giulia Fontana,Studente,2,50.0,0,2.5,2.5,0
20,Riccardo Bruno,Studente,2,32.5,0,1.63,1.63,0
1,Prof. Marco Rossi,Docente,4,90.0,8,4.5,4.5,1
2,Prof.ssa Anna Bianchi,Docente,4,92.5,8,4.63,4.63,1
3,Prof. Luigi Verdi,Docente,2,80.0,4,4.0,4.0,1
4,Prof.ssa Giulia Romano,Docente,3,90.0,2,4.5,4.5,1
5,Prof. Andrea Galli,Docente,2,93.3,3,4.67,4.67,1
